fecha;nombre;area;circuito;estructura;lat;long;observaciones;apoyoTipo;apoyoCantidad;configuracion;disposicion;altura;característicasPlaca;avifauna;avifaunaEquipos;crucetaSup;crucetaInf;bayonetaTipo;bayonetaObservaciones;templeteCant;templeteAvifauna;aisladorTipo;aisladorA;aisladorB;aisladorC;dpsA;dpsB;dpsC;seccionador;equiposAdicionales;sptBajante;sptConexion;sptCantidad;sptEstado;fotoPath,,,,,,
2025-05-29 08:54:46;;kitaro ;kitaro -ponyo ;P-07b;4.3401556;-72.7176487;Estructura de paso con doble aislador por fase;P;1;Otro;Otro;12;510;Sí;aisladores ;1;;Doble;;1;1;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_085845_1855586917578367899.jpg,,,,,,
2025-05-29 08:41:11;;kitaro ;kitaro -ponyo ;P-06b;;;Estructura con doble circuito, uno actual (a desmantelar) en configuración retención con derivación a doble cruceta horizontal y el proyectado en retención triangular;P;1;Retención;Triangular;14;1350;Sí;Actual grapas y nuevo grapas, crucetas y templete ;1;2;Doble;;3;;Aislador;;;;0;1;0;No;1 dps y linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_085427_9203650473144565454.jpg,,,,
2025-05-29 08:38:55;;kitaro ;kitaro -ponyo ;P-05b nuevo ;;;;P;1;Retención;Triangular;;;Sí;grapas ;;1;Doble;;2;2;Aislador;;;;;;;No;linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_084059_3768080827611820766.jpg,,,,,,
2025-05-29 08:29:09;;kitaro ;kitaro -ponyo ;P-05b;;;poste a desmantelar - actual circuito kitaro -ponyo, retención en d os niveles de crucetas ;P;1;Retención;Otro;14;1350;Sí;grapas y dps ;1;1;Doble;;2;2;Cadenas de aisladores;;;;1;0;1;No;linepost y dps ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_083757_6901034154724490098.jpg,,,,,
2025-05-29 08:15:25;;kitaro ;kitaro -ponyo ;P-04b;4.3410379;-72.7159764;Estructura que cuenta con 2 circuitos, uno de la red actual kitaro -ponyo  con doble aislador (a desmantelar) y el que quedará en la conexión con el pórtico R9;P;1;Otro;Otro;14;;Sí;Circuito actual aisladores y circuito futuro grapas y crucetas ;1;1;Doble;;1;1;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_082805_4132922653516602039.jpg,,,,,
2025-05-29 08:10:18;;kitaro ;kitaro -ponyo ;P-03b;4.3413316;-72.7162554;Estructura de paso con doble aislador por fase;P;1;Otro;Semibandera;14;1050;Sí;aisladores ;1;;Doble;;1;1;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_081505_1173758018372641748.jpg,,,,,,
2025-05-28 17:09:06;;;;;;;;P;;Retención;Canadiense;;;No;;;;Sencilla;;;;Aislador;;;;;;;No;;;;;;,,,,,,
2025-05-28 17:04:19;;Bacano ;Bacano -R4 ;P-013;4.3582139;-72.7586694;Estructura en retención con cadena de aisladores de 7 discos en fase de la mitad, las 3 fases sobre la misma cruceta y solo 2 fases con dps ;P;1;Retención;Triangular;14;1050;Sí;Grapas y dps ;1;;Doble;;2;;Cadenas de aisladores;;;;1;0;1;No;linepost y dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_170823_2128603445612135102.jpg,,,,,
2025-05-28 17:01:17;;Bacano ;Bacano -R4 ;P-012;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso evidente ;P;1;Otro;Otro;14;;Sí;Aisladores ;2;;Sencilla;;;;Pin;1;1;1;;;;No;Linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_170355_8410039007185214752.jpg,,,,,,
2025-05-28 16:58:16;;Bacano ;Bacano -R4 ;P-011;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso evidente ;P;1;Otro;Otro;14;;Sí;Aisladores ;2;;Sencilla;;;;Pin;1;1;1;;;;No;Cadena de aisladores en suspensión sin uso evidente ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_170101_1694309715662597609.jpg,,,,,,
2025-05-28 16:54:52;;Bacano ;Bacano -R4 ;P-010;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso evidente ;P;1;Otro;Otro;14;;Sí;aisladores ;2;;Sencilla;;;;Pin;1;1;1;;;;No;Cadena de aisladores en suspensión sin uso evidente ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_165740_6250787727433569341.jpg,,,,,,
2025-05-28 16:49:45;;Bacano ;Bacano -R4 ;P-009;4.3582139;-72.7586694;Estructura en retención con cadena de aisladores de 7 discos en fase de la mitad y linepost para el puente, 2 dps en fases externas ;P;1;Retención;Triangular;14;;Sí;Grapas y Dps;1;;Doble;;2;2;Cadenas de aisladores;1;1;1;1;0;1;No;linepost y dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_165427_2826518289468577966.jpg,,,,,
2025-05-28 16:46:33;;Bacano ;Bacano -R4 ;P-008;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso evidente ;P;1;Otro;Triangular;14;;Sí;Aisladores ;2;;Sencilla;1;;;Pin;1;1;1;;;;No;linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164918_6282252381538445734.jpg,,,,,,
2025-05-28 16:43:28;;Bacano ;Bacano -R4 ;P-007;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso o aplicación evidente ;P;1;Otro;Canadiense;14;;Sí;Aisladores ;2;;Sencilla;;;;Pin;1;1;1;;;;No;Cadena de aisladores en suspensión sin uso ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164617_1649074274565966193.jpg,,,,,,
2025-05-28 16:37:16;;Bacano ;Bacano -R4 ;P-006;4.3582139;-72.7586694;Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso;P;1;Otro;Semibandera;14;;Sí;Aisladores ;2;;Sencilla;Cruceta superior con cadena de aisladores en suspensión sin uso ;;;Pin;1;1;1;;;;No;Cadena de aisladores en suspensión sin uso ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164300_4867799926174630816.jpg,,,,,,
2025-05-28 16:29:03;;Bacano ;Bacano -R4 ;P-005;4.3582139;-72.7586694;Retención en una sola cruceta horizontal con cadena del medio con 7 discos y puente con linepost;P;1;Retención;Triangular;14;;Sí;Grapas;1;;Doble;;2;2;Cadenas de aisladores;;;;1;1;1;No;linepost, cadena de 7 discos en fase del medio y dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_163701_318706191250186309.jpg,,,,,
2025-05-28 16:24:25;;Bacano ;Bacano -R4 ;P-004;4.3582139;-72.7586694;Estructura de paso con doble aislador, Cruceta superior con cadena de aisladores en suspensión, sin uso evidente;P;1;Otro;Semibandera;14;1050;Sí;Aisladores y linepost ;1;1;Sencilla;;;;Pin;2;2;2;;;;No;1 linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_162850_8679471016818546172.jpg,,,,
2025-05-28 16:19:39;;Bacano ;Bacano -R4 ;P-0003;4.3582139;-72.7586694;Cruceta superior con un aislador en suspensión sin uso evidentemente ;P;1;Otro;Semibandera;;;Sí;Aisladores y linepost;1;1;Sencilla;1;;;Pin;1;1;1;;;;No;1 línea post y 1 cadena en suspensión ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_162408_760935741705181431.jpg,,,,,,
2025-05-28 15:47:31;;Bacano;Bacano -R4;P-002;4.3582139;-72.7586694;Terminal con seccionadores monopolares y subterraniza, aisladores sobre una cruceta ;P;1;Otro;Triangular;14;1050;Sí;grapas y dps;1;2;Doble;;1;1;Cadenas de aisladores;;;;1;1;1;Sí;seccionadores monopolares ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_161922_4843802967979060729.jpg,,,,,
2025-05-28 15:46:16;;Akira ;Akira -Akira Noreste ;-28c;4.3479548;-72.7127466;28c y 29c juntos ;P;1;Retención;Canadiense;14;;Sí;grapas ;1;1;Doble;;1;;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_154717_2235362641970941477.jpg,,,,,,
2025-05-28 15:38:45;Akira ;Akira ;Akira -Akira Noreste ;p-29c;4.3479548;-72.7127466;postes 28c y 29c juntos en retención canadiense, 29c con dps;P;1;Retención;Canadiense;14;;Sí;grapas ;1;1;Doble;;1;;Aislador;;;;1;1;1;No;dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_154122_7819524402808437999.jpg,,,,,
2025-05-28 15:34:25;;Akira ;Akira -Akira Noreste ;p-31c;;;suspensión canadiense ;P;1;Suspensión;Canadiense;14;;No;;1;1;Sencilla;;;;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_153738_3438557482732994009.jpg,,,,,,
2025-05-28 15:32:06;;Akira ;Akira -Akira Noreste ;p-31c;4.3479548;-72.7127466;suspensión canadiense ;P;1;Suspensión;Canadiense;14;;No;;1;1;Sencilla;;;;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_153350_872321430646842312.jpg,,,,,,
2025-05-28 15:24:44;;Akira ;Akira -Akira Noreste ;p-32c;4.3479548;-72.7127466;retención canadiense ;P;1;Retención;Canadiense;14;;Sí;grapas ;1;1;Doble;;1;1;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_153144_6751221877868008008.jpg,,,,,,
